surah_id,order_canonical,order_traditional,order_noldeke,period_traditional,composite_flag,exception_verses,exception_period,place_note,source
1,1,5,5,meccan,0,,,,tanzil.net/docs/revelation_order
2,2,87,87,medinan,0,,,281 revealed at Mina during the Last Hajj,tanzil.net/docs/revelation_order
3,3,89,89,medinan,0,,,,tanzil.net/docs/revelation_order
4,4,92,92,medinan,0,,,,tanzil.net/docs/revelation_order
5,5,112,113,medinan,0,,,3 revealed at Arafat during the Last Hajj,tanzil.net/docs/revelation_order
6,6,55,55,meccan,1,"20,23,91,93,114,151,152,153",medinan,,tanzil.net/docs/revelation_order
7,7,39,39,meccan,1,163-170,medinan,,tanzil.net/docs/revelation_order
8,8,88,88,medinan,1,30-36,meccan,,tanzil.net/docs/revelation_order
9,9,113,114,medinan,1,"128,129",meccan,,tanzil.net/docs/revelation_order
10,10,51,51,meccan,1,"40,94,95,96",medinan,,tanzil.net/docs/revelation_order
11,11,52,52,meccan,1,"12,17,114",medinan,,tanzil.net/docs/revelation_order
12,12,53,53,meccan,1,"1,2,3,7",medinan,,tanzil.net/docs/revelation_order
13,13,96,96,medinan,0,,,,tanzil.net/docs/revelation_order
14,14,72,72,meccan,1,"28,29",medinan,,tanzil.net/docs/revelation_order
15,15,54,54,meccan,1,87,medinan,,tanzil.net/docs/revelation_order
16,16,70,70,meccan,1,126-128,medinan,,tanzil.net/docs/revelation_order
17,17,50,50,meccan,1,"26,32,33,57,73-80",medinan,,tanzil.net/docs/revelation_order
18,18,69,69,meccan,1,"28,83-101",medinan,,tanzil.net/docs/revelation_order
19,19,44,44,meccan,1,"58,71",medinan,,tanzil.net/docs/revelation_order
20,20,45,45,meccan,1,"130,131",medinan,,tanzil.net/docs/revelation_order
21,21,73,73,meccan,0,,,,tanzil.net/docs/revelation_order
22,22,103,104,medinan,0,,,52-55 revealed between Mecca and Medina,tanzil.net/docs/revelation_order
23,23,74,74,meccan,0,,,,tanzil.net/docs/revelation_order
24,24,102,103,medinan,0,,,,tanzil.net/docs/revelation_order
25,25,42,42,meccan,1,68-70,medinan,,tanzil.net/docs/revelation_order
26,26,47,47,meccan,1,"197,224-227",medinan,,tanzil.net/docs/revelation_order
27,27,48,48,meccan,0,,,,tanzil.net/docs/revelation_order
28,28,49,49,meccan,1,52-55,medinan,85 revealed at Juhfa during the Hijra,tanzil.net/docs/revelation_order
29,29,85,85,meccan,1,1-11,medinan,,tanzil.net/docs/revelation_order
30,30,84,84,meccan,1,17,medinan,,tanzil.net/docs/revelation_order
31,31,57,57,meccan,1,27-29,medinan,,tanzil.net/docs/revelation_order
32,32,75,75,meccan,1,16-20,medinan,,tanzil.net/docs/revelation_order
33,33,90,90,medinan,0,,,,tanzil.net/docs/revelation_order
34,34,58,58,meccan,0,,,,tanzil.net/docs/revelation_order
35,35,43,43,meccan,0,,,,tanzil.net/docs/revelation_order
36,36,41,41,meccan,1,45,medinan,,tanzil.net/docs/revelation_order
37,37,56,56,meccan,0,,,,tanzil.net/docs/revelation_order
38,38,38,38,meccan,0,,,,tanzil.net/docs/revelation_order
39,39,59,59,meccan,0,,,,tanzil.net/docs/revelation_order
40,40,60,60,meccan,1,"56,57",medinan,,tanzil.net/docs/revelation_order
41,41,61,61,meccan,0,,,,tanzil.net/docs/revelation_order
42,42,62,62,meccan,1,"23,24,25,27",medinan,,tanzil.net/docs/revelation_order
43,43,63,63,meccan,1,54,medinan,,tanzil.net/docs/revelation_order
44,44,64,64,meccan,0,,,,tanzil.net/docs/revelation_order
45,45,65,65,meccan,1,14,medinan,,tanzil.net/docs/revelation_order
46,46,66,66,meccan,1,"10,15,35",medinan,,tanzil.net/docs/revelation_order
47,47,95,95,medinan,0,,,13 revealed during the Hijra,tanzil.net/docs/revelation_order
48,48,111,112,medinan,0,,,revealed while returning from Hudaybiyya,tanzil.net/docs/revelation_order
49,49,106,107,medinan,0,,,,tanzil.net/docs/revelation_order
50,50,34,34,meccan,1,38,medinan,,tanzil.net/docs/revelation_order
51,51,67,67,meccan,0,,,,tanzil.net/docs/revelation_order
52,52,76,76,meccan,0,,,,tanzil.net/docs/revelation_order
53,53,23,23,meccan,1,32,medinan,,tanzil.net/docs/revelation_order
54,54,37,37,meccan,1,44-46,medinan,,tanzil.net/docs/revelation_order
55,55,97,97,medinan,0,,,,tanzil.net/docs/revelation_order
56,56,46,46,meccan,1,"81,82",medinan,,tanzil.net/docs/revelation_order
57,57,94,94,medinan,0,,,,tanzil.net/docs/revelation_order
58,58,105,106,medinan,0,,,,tanzil.net/docs/revelation_order
59,59,101,101,medinan,0,,,,tanzil.net/docs/revelation_order
60,60,91,91,medinan,0,,,,tanzil.net/docs/revelation_order
61,61,109,111,medinan,0,,,,tanzil.net/docs/revelation_order
62,62,110,109,medinan,0,,,,tanzil.net/docs/revelation_order
63,63,104,105,medinan,0,,,,tanzil.net/docs/revelation_order
64,64,108,110,medinan,0,,,,tanzil.net/docs/revelation_order
65,65,99,99,medinan,0,,,,tanzil.net/docs/revelation_order
66,66,107,108,medinan,0,,,,tanzil.net/docs/revelation_order
67,67,77,77,meccan,0,,,,tanzil.net/docs/revelation_order
68,68,2,2,meccan,1,"17-33,48-50",medinan,,tanzil.net/docs/revelation_order
69,69,78,78,meccan,0,,,,tanzil.net/docs/revelation_order
70,70,79,79,meccan,0,,,,tanzil.net/docs/revelation_order
71,71,71,71,meccan,0,,,,tanzil.net/docs/revelation_order
72,72,40,40,meccan,0,,,,tanzil.net/docs/revelation_order
73,73,3,3,meccan,1,"10,11,20",medinan,,tanzil.net/docs/revelation_order
74,74,4,4,meccan,0,,,,tanzil.net/docs/revelation_order
75,75,31,31,meccan,0,,,,tanzil.net/docs/revelation_order
76,76,98,98,medinan,0,,,,tanzil.net/docs/revelation_order
77,77,33,33,meccan,1,48,medinan,,tanzil.net/docs/revelation_order
78,78,80,80,meccan,0,,,,tanzil.net/docs/revelation_order
79,79,81,81,meccan,0,,,,tanzil.net/docs/revelation_order
80,80,24,24,meccan,0,,,,tanzil.net/docs/revelation_order
81,81,7,7,meccan,0,,,,tanzil.net/docs/revelation_order
82,82,82,82,meccan,0,,,,tanzil.net/docs/revelation_order
83,83,86,86,meccan,0,,,,tanzil.net/docs/revelation_order
84,84,83,83,meccan,0,,,,tanzil.net/docs/revelation_order
85,85,27,27,meccan,0,,,,tanzil.net/docs/revelation_order
86,86,36,36,meccan,0,,,,tanzil.net/docs/revelation_order
87,87,8,8,meccan,0,,,,tanzil.net/docs/revelation_order
88,88,68,68,meccan,0,,,,tanzil.net/docs/revelation_order
89,89,10,10,meccan,0,,,,tanzil.net/docs/revelation_order
90,90,35,35,meccan,0,,,,tanzil.net/docs/revelation_order
91,91,26,26,meccan,0,,,,tanzil.net/docs/revelation_order
92,92,9,9,meccan,0,,,,tanzil.net/docs/revelation_order
93,93,11,11,meccan,0,,,,tanzil.net/docs/revelation_order
94,94,12,12,meccan,0,,,,tanzil.net/docs/revelation_order
95,95,28,28,meccan,0,,,,tanzil.net/docs/revelation_order
96,96,1,1,meccan,0,,,,tanzil.net/docs/revelation_order
97,97,25,25,meccan,0,,,,tanzil.net/docs/revelation_order
98,98,100,100,medinan,0,,,,tanzil.net/docs/revelation_order
99,99,93,93,medinan,0,,,,tanzil.net/docs/revelation_order
100,100,14,14,meccan,0,,,,tanzil.net/docs/revelation_order
101,101,30,30,meccan,0,,,,tanzil.net/docs/revelation_order
102,102,16,16,meccan,0,,,,tanzil.net/docs/revelation_order
103,103,13,13,meccan,0,,,,tanzil.net/docs/revelation_order
104,104,32,32,meccan,0,,,,tanzil.net/docs/revelation_order
105,105,19,19,meccan,0,,,,tanzil.net/docs/revelation_order
106,106,29,29,meccan,0,,,,tanzil.net/docs/revelation_order
107,107,17,17,meccan,1,4-7,medinan,,tanzil.net/docs/revelation_order
108,108,15,15,meccan,0,,,,tanzil.net/docs/revelation_order
109,109,18,18,meccan,0,,,,tanzil.net/docs/revelation_order
110,110,114,102,medinan,0,,,"revealed at Mina during the Last Hajj, classified Medinan",tanzil.net/docs/revelation_order
111,111,6,6,meccan,0,,,,tanzil.net/docs/revelation_order
112,112,22,22,meccan,0,,,,tanzil.net/docs/revelation_order
113,113,20,20,meccan,0,,,,tanzil.net/docs/revelation_order
114,114,21,21,meccan,0,,,,tanzil.net/docs/revelation_order
