version_uri,book,author_id,genre,genre_source,author_genre,admission_path,note
0285IbnYazidMubarrad.KamilFiLugha.Shamela0008505-ara1,0285IbnYazidMubarrad.KamilFiLugha,0285IbnYazidMubarrad,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0285IbnYazidMubarrad.Muqtadab.Shamela0006965-ara1,0285IbnYazidMubarrad.Muqtadab,0285IbnYazidMubarrad,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0356AbuCaliQali.AmaliFiLugha.JK000919BK1-ara1,0356AbuCaliQali.AmaliFiLugha,0356AbuCaliQali,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0356AbuCaliQali.DhaylAmali.JK000919BK2-ara1,0356AbuCaliQali.DhaylAmali,0356AbuCaliQali,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0356AbuCaliQali.Nawadir.JK000919BK3-ara1,0356AbuCaliQali.Nawadir,0356AbuCaliQali,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0362AbuFarajIsbahani.AdabGhuraba.ShamAY0034452-ara1,0362AbuFarajIsbahani.AdabGhuraba,0362AbuFarajIsbahani,adab_prose,title,history,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0375IkhwanSafa.Rasail.Hindawi095926405Vols-ara1,0375IkhwanSafa.Rasail,0375IkhwanSafa,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0381IbnBabawayhSaduq.Amali.Shia001134-ara1,0381IbnBabawayhSaduq.Amali,0381IbnBabawayhSaduq,adab_prose,title,other,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0388AbuSulaymanKhattabi.BayanIcjazQuran.Sham19Y0013900-ara1,0388AbuSulaymanKhattabi.BayanIcjazQuran,0388AbuSulaymanKhattabi,adab_prose,title,hadith_collection,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0413AbuIshaqHusri.ZahrAdab.JK009230-ara1,0413AbuIshaqHusri.ZahrAdab,0413AbuIshaqHusri,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0450AbuHasanMawardi.AdabDunyaWaDin.JK011658-ara1,0450AbuHasanMawardi.AdabDunyaWaDin,0450AbuHasanMawardi,adab_prose,tag:_AKHLAQ,fiqh,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0456IbnHazm.AkhlaqWaSiyar.JK000426-ara1,0456IbnHazm.AkhlaqWaSiyar,0456IbnHazm,adab_prose,tag:_AKHLAQ,hadith_collection,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0456IbnHazm.Talkhis.JK009349-ara1,0456IbnHazm.Talkhis,0456IbnHazm,adab_prose,tag:_AKHLAQ,hadith_collection,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0458Bayhaqi.Adab.Shamela0008203-ara1,0458Bayhaqi.Adab,0458Bayhaqi,adab_prose,title,other,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0460ShaykhTusi.Amali.Shia001334-ara1,0460ShaykhTusi.Amali,0460ShaykhTusi,adab_prose,title,fiqh,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0460ShaykhTusi.RasailCashar.Masaha001023-ara1,0460ShaykhTusi.RasailCashar,0460ShaykhTusi,adab_prose,title,fiqh,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0465IbnHawazinQushayri.RisalaQushayriyya.JK009321-ara1,0465IbnHawazinQushayri.RisalaQushayriyya,0465IbnHawazinQushayri,adab_prose,tag:_AKHLAQ,tafsir,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0500Anonymous.MajmucatRasailJahiz,0500Anonymous,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0505Ghazali.AsnafMaghrurin.JK010255-ara1,0505Ghazali.AsnafMaghrurin,0505Ghazali,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0505Ghazali.IhyaCulumDin.JK000001-ara1,0505Ghazali.IhyaCulumDin,0505Ghazali,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0505Ghazali.MajmucatRasail,0505Ghazali,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0505Ghazali.MishkatAnwar.JK009401-ara1,0505Ghazali.MishkatAnwar,0505Ghazali,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0505Ghazali.MizanCamal.JK009289-ara1,0505Ghazali.MizanCamal,0505Ghazali,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0505Ghazali.Munqidh.JK009330-ara1,0505Ghazali.Munqidh,0505Ghazali,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0505Ghazali.SirrCalamin.JK009402-ara1,0505Ghazali.SirrCalamin,0505Ghazali,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0521IbnMuhammadBatalyawsi.Iqtidab,0521IbnMuhammadBatalyawsi,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
