tag,genre,n_in_tsv,mapped,evidence_sample,note
_SHICR,poetry_diwan,213,true,Diwan [0001AbuTalibCabdManaf.Diwan] | Diwan [0001AwsIbnHajar.Diwan] | Diwan [0001CamrIbnMalik.Diwan] | Diwan [0001CamrIbnQumaya.Diwan] | Diwan [0001HajibIbnMudallil.Diwan],
_SHICR_CABBASI,poetry_diwan,50,true,Diwan [0192IbnAhnaf.Diwan] | Diwan [0198AbuNuwasShacir.Diwan] | Diwan [0210CulayyaBintMahdi.Diwan] | Diwan [0211AbuCatahiya.Diwan] | Diwan [0213IbnJabalaShacir.Diwan],
_SHICR_JAHILI,poetry_diwan,27,true,Diwan [0001AbuTalibCabdManaf.Diwan] | Diwan [0001AwsIbnHajar.Diwan] | Diwan [0001CamrIbnMalik.Diwan] | Diwan [0001CamrIbnQumaya.Diwan] | Diwan [0001HajibIbnMudallil.Diwan],
_SHICR_UMAWI,poetry_diwan,19,true,Diwan [0068QaysIbnDharihLubna.Diwan] | Diwan [0068QaysMajnunLayla.Diwan] | Diwan [0090AkhtalShacir.Diwan] | Diwan [0090WaddahYaman.Diwan] | Diwan [0105KuthayyirCazza.Diwan],
_SHICR_CUTHMANI,poetry_diwan,17,true,Diwan [0768IbnNubataShacir.Diwan] | Diwan [1079HabalShacir.Diwan] | Diwan [1087IbnMactuqShacir.Diwan] | Diwan Islam | Diwan [1285IbnMushrifShacir.Diwan],
_SHICR_ANDALUSI,poetry_diwan,15,true,Diwan [0362IbnHaniAndalusi.Diwan] | Diwan [0426IbnShuhaydAshjaci.Diwan] | Tawabic Wa Zawabic | Diwan [0460AbuIshaqIlbiri.Diwan] | Diwan [0480IbnHaddadQaysi.Diwan],
_HADITH,hadith_collection,2793,true,Kitab Sulaym | Faḍāʾil Makkaŧ | Ahadith Yazid | Nuskhat Zubayr | Sahifa,
_MASANID,hadith_collection,99,true,Musnad | Musnad Sacd Ibn Abi Waqqas | Muntakhab Min Musnad | Musnad Cumar Ibn Khattab | Musnad Cabd Allah Ibn Cumar,
_SUNAN,hadith_collection,36,true,Jamic Fi Hadith | Musnad | Sunan Mathura | Sunan | Tafsir Min Sunan Sacid,
_SAHIH,hadith_collection,29,true,Sahih | Ṣaḥīḥ | Muntaqa | Musnad Mustakhraj Cala Sahih Muslim | Jamc Bayna Sahihayn,
_TAFSIR,tafsir,324,true,Tafsir [0104MujahidIbnJabr.Tafsir] | Nasikh Wa Mansukh | Tafsir [0148AbuHamzaThumali.Tafsir] | Tafsir Muqatil | Tafsir Quran,
_TARIKH,history,557,true,Faḍāʾil Makkaŧ | ḥaḏf min nasab qurayš :: nasab qurayš | Jamharat Ansab | Nasab Macad | Futuh Sham,
_FUTUH,,4,false,Futūḥ Miṣr wa-al-Maġrib,za malo unikalnych tytulow (1) — nie mapowane
_JUGHRAFIYA,history,120,true,Aḫbār Makkaŧ al-Mušarrafaaŧ | al-tabṣiraŧ bi-l-tiǧāraŧ :: al-tabaṣṣur bi-al-tiǧāraŧ | Futūḥ Miṣr wa-al-Maġrib | Taʾrīḫ al-Madīnaŧ :: Aḫbār al-Madīnaŧ | Aḫbār Makkaŧ fī qadīm al-dahr wa-ḥadīṯihi,
_DJUGHRAFIYA,,1,false,Taʾrīḫ al-ʿālam,wariant pisowni _JUGHRAFIYA; za malo unikalnych tytulow (1) — nie mapowane
