chapter_id,eqtb,qac_reference,diff
1,29,29,0
2,6116,6116,0
3,3481,3481,0
4,3747,3747,0
5,2804,2804,0
6,3050,3050,0
7,3320,3320,0
8,1233,1233,0
9,2498,2498,0
10,1833,1833,0
11,1917,1917,0
12,1777,1777,0
13,853,853,0
14,830,830,0
15,655,655,0
16,1844,1844,0
17,1556,1556,0
18,1579,1579,0
19,961,961,0
20,1335,1335,0
21,1169,1169,0
22,1274,1274,0
23,1050,1050,0
24,1316,1316,0
25,893,893,0
26,1318,1318,0
27,1151,1151,0
28,1430,1430,0
29,976,976,0
30,817,817,0
31,546,546,0
32,372,372,0
33,1287,1287,0
34,883,883,0
35,775,775,0
36,725,725,0
37,860,860,0
38,733,733,0
39,1172,1172,0
40,1219,1219,0
41,794,794,0
42,860,860,0
43,830,830,0
44,346,346,0
45,488,488,0
46,643,643,0
47,539,539,0
48,560,560,0
49,347,347,0
50,373,373,0
51,360,360,0
52,312,312,0
53,360,360,0
54,342,342,0
55,351,351,0
56,379,379,0
57,574,574,0
58,472,472,0
59,445,445,0
60,348,348,0
61,221,221,0
62,175,175,0
63,180,180,0
64,241,241,0
65,287,287,0
66,249,249,0
67,333,333,0
68,300,300,0
69,258,258,0
70,217,217,0
71,226,226,0
72,285,285,0
73,199,199,0
74,255,255,0
75,164,164,0
76,243,243,0
77,181,181,0
78,173,173,0
79,179,179,0
80,133,133,0
81,104,104,0
82,80,80,0
83,169,169,0
84,107,107,0
85,109,109,0
86,61,61,0
87,72,72,0
88,92,92,0
89,137,137,0
90,82,82,0
91,54,54,0
92,71,71,0
93,40,40,0
94,27,27,0
95,34,34,0
96,72,72,0
97,30,30,0
98,94,94,0
99,36,36,0
100,40,40,0
101,36,36,0
102,28,28,0
103,14,14,0
104,33,33,0
105,23,23,0
106,17,17,0
107,25,25,0
108,10,10,0
109,26,26,0
110,19,19,0
111,23,23,0
112,15,15,0
113,23,23,0
114,20,20,0
