role,version_uri,book,author_id,death_date_ah,tok_length_meta,uncorrected_ocr,url,http_ok,n_bytes,non_arabic_ratio,mean_word_length,long_line_ratio,n_markdown_chars_removed,passes_section3
classic,0516IbnCaliHariri.Maqamat.JK009202-ara1,0516IbnCaliHariri.Maqamat,0516IbnCaliHariri,516.0,48202.0,False,https://raw.githubusercontent.com/OpenITI/0525AH/master/data/0516IbnCaliHariri/0516IbnCaliHariri.Maqamat/0516IbnCaliHariri.Maqamat.JK009202-ara1,True,503391,0.02661594349557661,3.5419228968315903,0.0,6469,True
classic,0398BadicZamanHamadhani.Maqamat.JK009269-ara1,0398BadicZamanHamadhani.Maqamat,0398BadicZamanHamadhani,398.0,20751.0,False,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0398BadicZamanHamadhani/0398BadicZamanHamadhani.Maqamat/0398BadicZamanHamadhani.Maqamat.JK009269-ara1.completed,True,220424,0.04369101146352328,3.6943422263109476,0.0,5918,True
classic,0354Mutanabbi.Diwan.JK007610-ara1,0354Mutanabbi.Diwan,0354Mutanabbi,354.0,9338.0,False,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0354Mutanabbi/0354Mutanabbi.Diwan/0354Mutanabbi.Diwan.JK007610-ara1.completed,True,92251,0.10730743910467411,2.8975201886657613,0.0,2942,False
classic,0001CamrIbnKulthum.Diwan.JK007524-ara1,0001CamrIbnKulthum.Diwan,0001CamrIbnKulthum,1.0,76.0,False,https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1,True,1921,0.1118279569892473,2.865546218487395,0.0,1092,False
classic,0256Bukhari.Sahih.JK000110-ara1,0256Bukhari.Sahih,0256Bukhari,256.0,609626.0,False,https://raw.githubusercontent.com/OpenITI/0275AH/master/data/0256Bukhari/0256Bukhari.Sahih/0256Bukhari.Sahih.JK000110-ara1.completed,True,5524762,0.05291045117260473,3.84686157567669,0.0,306056,False
classic,0261Muslim.Sahih.Shamela0001727-ara1,0261Muslim.Sahih,0261Muslim,261.0,505827.0,False,https://raw.githubusercontent.com/OpenITI/0275AH/master/data/0261Muslim/0261Muslim.Sahih/0261Muslim.Sahih.Shamela0001727-ara1.mARkdown,True,4933663,0.0389377879720042,4.197875569044006,0.0,272373,True
classic,0310Tabari.Tarikh.Shamela0009783BK1-ara1,0310Tabari.Tarikh,0310Tabari,310.0,1449128.0,False,https://raw.githubusercontent.com/OpenITI/0325AH/master/data/0310Tabari/0310Tabari.Tarikh/0310Tabari.Tarikh.Shamela0009783BK1-ara1.mARkdown,True,14109097,0.030874217678894755,4.291670616659308,0.0,196693,True
classic,0255Jahiz.BayanWaTabyin.Shamela0010614-ara1,0255Jahiz.BayanWaTabyin,0255Jahiz,255.0,162824.0,False,https://raw.githubusercontent.com/OpenITI/0275AH/master/data/0255Jahiz/0255Jahiz.BayanWaTabyin/0255Jahiz.BayanWaTabyin.Shamela0010614-ara1.completed,True,1620199,0.040611878936319123,4.129070296312518,0.0,19272,True
classic,0540IbnAhmadAbuSacdIsbahani.Fawaid.Shamela0029904-ara1,0540IbnAhmadAbuSacdIsbahani.Fawaid,0540IbnAhmadAbuSacdIsbahani,540.0,918.0,False,https://raw.githubusercontent.com/OpenITI/0550AH/master/data/0540IbnAhmadAbuSacdIsbahani/0540IbnAhmadAbuSacdIsbahani.Fawaid/0540IbnAhmadAbuSacdIsbahani.Fawaid.Shamela0029904-ara1,True,10147,0.029197080291970767,4.041387024608501,0.0,1772,True
classic,0505Ghazali.IhyaCulumDin.JK000001-ara1,0505Ghazali.IhyaCulumDin,0505Ghazali,505.0,992076.0,False,https://raw.githubusercontent.com/OpenITI/0525AH/master/data/0505Ghazali/0505Ghazali.IhyaCulumDin/0505Ghazali.IhyaCulumDin.JK000001-ara1,True,9470821,0.031092518471022124,4.203418288737222,0.0,39725,True
